,Date,Adj Close,Close,High,Low,Open,Volume,min,max,min_1,max_1
0,2021-02-24,45.54642868041992,45.59999847412109,47.84999847412109,44.7400016784668,45.25,1209100.0,,,,
1,2021-02-25,44.69742584228516,44.75,51.27000045776367,44.25,47.560001373291016,2246700.0,44.75,,,
2,2021-02-26,47.79378509521485,47.84999847412109,48.77999877929688,44.06999969482422,45.0,1683400.0,,,,
3,2021-03-01,52.05876922607422,52.119998931884766,52.43999862670898,48.25,50.0,1215600.0,,52.119998931884766,,52.119998931884766
4,2021-03-02,50.28086471557617,50.34000015258789,51.77000045776367,50.150001525878906,51.5099983215332,745000.0,,,,
5,2021-03-03,46.47533798217773,46.52999877929688,49.470001220703125,46.0099983215332,47.310001373291016,1261400.0,,,,
6,2021-03-04,43.33902740478516,43.38999938964844,46.38999938964844,41.90999984741211,46.040000915527344,1461200.0,,,,
7,2021-03-05,42.98943710327149,43.040000915527344,44.0,37.58000183105469,43.959999084472656,1833700.0,,,,
8,2021-03-08,42.07051849365234,42.119998931884766,44.93999862670898,41.75,44.0,1010400.0,42.119998931884766,,42.119998931884766,
9,2021-03-09,43.98826217651367,44.040000915527344,44.4900016784668,42.88999938964844,43.52999877929688,823900.0,,,,
10,2021-03-10,44.72739028930664,44.77999877929688,47.150001525878906,44.4900016784668,44.540000915527344,835400.0,,,,
11,2021-03-11,46.95476913452149,47.0099983215332,47.0099983215332,44.84999847412109,45.68999862670898,819000.0,,47.0099983215332,,
12,2021-03-12,46.545169830322266,46.59000015258789,47.7400016784668,46.02000045776367,46.47999954223633,696000.0,46.59000015258789,,,
13,2021-03-15,47.79396438598633,47.84000015258789,48.900001525878906,47.11000061035156,47.43999862670898,908300.0,,47.84000015258789,,47.84000015258789
14,2021-03-16,43.93767929077149,43.97999954223633,47.130001068115234,43.52000045776367,45.84000015258789,1578900.0,,,,
15,2021-03-17,42.74882507324219,42.790000915527344,44.84999847412109,42.380001068115234,44.40999984741211,2276100.0,,,,
16,2021-03-18,38.223182678222656,38.2599983215332,41.04999923706055,38.25,40.13999938964844,7720300.0,,,,
17,2021-03-19,37.34403610229492,37.380001068115234,38.59999847412109,37.06999969482422,38.59000015258789,3455700.0,37.380001068115234,,,
18,2021-03-22,38.882545471191406,38.91999816894531,40.0,37.959999084472656,37.959999084472656,4081100.0,,38.91999816894531,,
19,2021-03-23,36.63471221923828,36.66999816894531,39.04999923706055,36.5,39.0,2337700.0,,,,
20,2021-03-24,33.607627868652344,33.63999938964844,37.70000076293945,33.560001373291016,37.68999862670898,2378400.0,33.63999938964844,,33.63999938964844,
21,2021-03-25,35.85546875,35.88999938964844,36.34000015258789,32.9900016784668,33.540000915527344,3667600.0,,,,
22,2021-03-26,37.603782653808594,37.63999938964844,38.56999969482422,36.75,36.7599983215332,2849800.0,,37.63999938964844,,
23,2021-03-29,35.77553939819336,35.810001373291016,39.720001220703125,35.790000915527344,37.88999938964844,1979800.0,35.810001373291016,,,
24,2021-03-30,36.57477188110352,36.61000061035156,36.650001525878906,35.0099983215332,36.060001373291016,1278500.0,,,,
25,2021-03-31,37.78361129760742,37.81999969482422,38.56999969482422,36.900001525878906,37.06999969482422,1543000.0,,,,
26,2021-04-01,38.07332992553711,38.11000061035156,38.84999847412109,37.04999923706055,38.56999969482422,1012900.0,,,,
27,2021-04-05,39.1123275756836,39.150001525878906,40.5,38.15999984741211,39.54999923706055,1184000.0,,39.150001525878906,,
28,2021-04-06,37.88350677490234,37.91999816894531,39.880001068115234,37.790000915527344,39.04999923706055,1003800.0,,,,
29,2021-04-07,37.793601989746094,37.83000183105469,38.54999923706055,37.54999923706055,37.77000045776367,719700.0,37.83000183105469,,,
30,2021-04-08,39.18225860595703,39.220001220703125,39.27999877929688,37.0099983215332,38.09000015258789,984900.0,,39.220001220703125,,39.220001220703125
31,2021-04-09,38.4829330444336,38.52000045776367,39.58000183105469,38.119998931884766,38.7400016784668,725900.0,,,,
32,2021-04-12,36.64470291137695,36.68000030517578,38.380001068115234,36.59999847412109,38.040000915527344,1270500.0,,,,
33,2021-04-13,36.60474395751953,36.63999938964844,37.0,35.63999938964844,36.54999923706055,1033000.0,36.63999938964844,,,
34,2021-04-14,37.48389434814453,37.52000045776367,38.66999816894531,36.59000015258789,36.59000015258789,853400.0,,37.52000045776367,,
35,2021-04-15,37.07429122924805,37.11000061035156,38.29999923706055,36.369998931884766,38.040000915527344,936300.0,37.11000061035156,,,
36,2021-04-16,38.28312683105469,38.31999969482422,38.83000183105469,36.22999954223633,37.61000061035156,1292800.0,,38.31999969482422,,
37,2021-04-19,36.71463394165039,36.75,38.72999954223633,36.16999816894531,38.310001373291016,1205400.0,,,,
38,2021-04-20,36.01530838012695,36.04999923706055,36.959999084472656,34.66999816894531,36.41999816894531,1087400.0,36.04999923706055,,36.04999923706055,
39,2021-04-21,37.39398193359375,37.43000030517578,37.45000076293945,34.95000076293945,35.58000183105469,801100.0,,,,
40,2021-04-22,38.243160247802734,38.27999877929688,39.58000183105469,37.540000915527344,37.84000015258789,1068300.0,,,,
41,2021-04-23,39.33211517333984,39.369998931884766,39.61000061035156,38.060001373291016,38.45000076293945,1723400.0,,,,
42,2021-04-26,40.27121353149414,40.310001373291016,40.630001068115234,39.02000045776367,39.380001068115234,1407900.0,,,,
43,2021-04-27,40.78071975708008,40.81999969482422,41.119998931884766,39.79999923706055,40.43000030517578,872700.0,,40.81999969482422,,40.81999969482422
44,2021-04-28,40.39109802246094,40.43000030517578,40.810001373291016,39.58000183105469,40.790000915527344,709300.0,,,,
45,2021-04-29,39.3121337890625,39.34999847412109,40.869998931884766,39.13999938964844,40.5,970600.0,,,,
46,2021-04-30,38.77265930175781,38.810001373291016,39.5,38.25,38.63999938964844,1002200.0,38.810001373291016,,,
47,2021-05-03,39.1922492980957,39.22999954223633,40.25,38.880001068115234,38.959999084472656,1399700.0,,39.22999954223633,,
48,2021-05-04,29.052017211914062,29.07999992370605,35.119998931884766,27.86000061035156,34.939998626708984,9788200.0,,,,
49,2021-05-05,27.9231071472168,27.950000762939453,28.950000762939453,27.51000022888184,28.600000381469727,2755100.0,27.950000762939453,,27.950000762939453,
50,2021-05-06,30.50062370300293,30.530000686645508,30.989999771118164,27.950000762939453,28.100000381469727,2680900.0,,,,
51,2021-05-07,31.50965118408203,31.540000915527344,31.850000381469727,30.07999992370605,30.63999938964844,1643400.0,,31.540000915527344,,
52,2021-05-10,29.421661376953125,29.450000762939453,31.65999984741211,29.350000381469727,31.600000381469727,1198000.0,29.450000762939453,,,
53,2021-05-11,30.970170974731445,31.0,31.0,27.399999618530277,27.799999237060547,1272200.0,,31.0,,
54,2021-05-12,29.861236572265625,29.88999938964844,31.31999969482422,29.81999969482422,30.489999771118164,897900.0,29.88999938964844,,,
55,2021-05-13,30.09101676940918,30.1200008392334,30.86000061035156,29.0,30.030000686645508,887000.0,,,,
56,2021-05-14,31.28986167907715,31.31999969482422,31.440000534057617,30.0,30.5,669300.0,,31.31999969482422,,
57,2021-05-17,30.0610466003418,30.09000015258789,31.270000457763672,29.350000381469727,30.989999771118164,925700.0,,,,
58,2021-05-18,29.521564483642575,29.549999237060547,30.68000030517578,29.1200008392334,29.21999931335449,941700.0,,,,
59,2021-05-19,29.2518253326416,29.280000686645508,29.350000381469727,27.82999992370605,28.899999618530277,1433000.0,29.280000686645508,,29.280000686645508,
60,2021-05-20,29.57151985168457,29.600000381469727,29.729999542236328,28.57999992370605,29.56999969482422,861700.0,,29.600000381469727,,
61,2021-05-21,29.521564483642575,29.549999237060547,30.100000381469727,29.34000015258789,30.06999969482422,706200.0,29.549999237060547,,,
62,2021-05-24,29.93116950988769,29.959999084472656,30.190000534057617,29.479999542236328,30.049999237060547,591900.0,,29.959999084472656,,
